,blue_team,red_team,result
5591,All Knights,Infinity Esports,0
5592,Immortals,Team Liquid,0
5593,Isurus,Azules Esports,0
5594,Counter Logic Gaming,FlyQuest,0
5595,Infinity Esports,Rainbow7,0
5596,Bilibili Gaming Junior,LinGan e-Sports,1
5597,Team Dynamics,T1,0
5598,Bilibili Gaming Junior,LinGan e-Sports,0
5599,Bilibili Gaming Junior,EDG Youth Team,1
5600,LinGan e-Sports,eStar Young,0
5601,Rogue Warriors,Royal Never Give Up,0
5602,Rogue Warriors,Royal Never Give Up,0
5603,eStar Young,EDG Youth Team,1
5604,FunPlus Phoenix Blaze,Joy Dream,1
5605,T1,Team Dynamics,1
5606,EDG Youth Team,eStar Young,0
5607,FunPlus Phoenix Blaze,Joy Dream,1
5608,Gen.G,KT Rolster,1
5609,Percent Esports,CERBERUS Esports,0
5610,Young Miracles,Invictus Gaming Young,1
5611,LGD Gaming Young Team,All Combo,0
5612,Dark Passage Academy,İstanbul Wildcats Academy,0
5613,CERBERUS Esports,Percent Esports,1
5614,All Combo,Invictus Gaming Young,0
5615,LGD Gaming Young Team,Young Miracles,1
5616,Invictus Gaming,Vici Gaming,1
5617,İstanbul Wildcats Academy,Dark Passage Academy,1
5618,KT Rolster,Gen.G,1
5619,GAM Esports,Team Flash,0
5620,Invictus Gaming,Vici Gaming,0
5621,Young Miracles,LGD Gaming Young Team,0
5622,Dark Passage Academy,İstanbul Wildcats Academy,1
5623,CrowCrowd,One Breath Gaming,0
5624,Gen.G,KT Rolster,1
5625,Invictus Gaming,Vici Gaming,0
5626,Team Flash,GAM Esports,0
5627,İstanbul Wildcats Academy,Dark Passage Academy,1
5628,FunPlus Phoenix,Suning,0
5629,Misfits Gaming,Team Vitality,1
5630,GAM Esports,Team Flash,1
5631,Vega Squadron,Unicorns Of Love.CIS,0
5632,FunPlus Phoenix,Suning,1
5633,MAD Lions,FC Schalke 04 Esports,0
5634,Vivo Keyd,FURIA Esports,0
5635,Gambit Esports,Dragon Army,1
5636,Suning,FunPlus Phoenix,1
5637,RoX,Elements Pro Gaming,0
5638,Origen,Rogue,0
5639,paiN Gaming,Prodigy Esports,0
5640,Vega Squadron,Elements Pro Gaming,0
5641,G2 Esports,Excel Esports,1
5642,INTZ,KaBuM! e-Sports,0
5643,Fnatic,SK Gaming,1
5644,Santos e-Sports,Flamengo Esports,1
5645,Azules Esports,Rainbow7,0
5646,Evil Geniuses,100 Thieves,0
5647,Isurus,All Knights,1
5648,Counter Logic Gaming,Cloud9,0
5649,Azules Esports,Infinity Esports,1
5650,Team Liquid,TSM,1
5651,Rainbow7,All Knights,0
5652,FlyQuest,Immortals,1
5653,Infinity Esports,Isurus,0
5654,Counter Logic Gaming,Dignitas,0
5655,Oh My Dream,LNG Academy,1
5656,LNG Academy,Oh My Dream,1
5657,Oh My Dream,LNG Academy,1
5658,Victorious Gaming,Legend Esport Gaming,0
5659,OZ Gaming,Element Mystic,1
5660,V5 87,Team WE Academy,1
5661,Legend Esport Gaming,Victorious Gaming,0
5662,Element Mystic,OZ Gaming,1
5663,Team WE Academy,V5 87,0
5664,Victorious Gaming,Legend Esport Gaming,0
5665,OZ Gaming,Element Mystic,1
5666,Royal Club,Dominus Esports Young,1
5667,WanZhen Esports Club,Shu Dai Xiong Gaming,0
5668,Dominus Esports Young,Royal Club,0
5669,Jin Air Green Wings,hyFresh Blade,1
5670,Shu Dai Xiong Gaming,WanZhen Esports Club,1
5671,hyFresh Blade,Jin Air Green Wings,1
5672,Jin Air Green Wings,hyFresh Blade,0
5673,Havan Liberty Gaming,RED Canids,0
5674,Havan Liberty Gaming,RED Canids,1
5675,RED Canids,Havan Liberty Gaming,1
5676,Havan Liberty Gaming,RED Canids,0
5677,K1ck Neosurf,7more7,0
5678,K1ck Neosurf,7more7,1
5679,Team MCES,IZI Dream,1
5680,MnM Gaming,Granit Gaming,1
5681,K1ck Neosurf,7more7,1
5682,K1ck Neosurf,7more7,1
5683,GameWard,Misfits Premier,0
5684,MnM Gaming,Granit Gaming,1
5685,Granit Gaming,MnM Gaming,0
5686,Solary,LDLC OL,1
5687,GamersOrigin,Vitality.Bee,1
5688,Rensga eSports,Team oNe eSports,0
5689,Team oNe eSports,Rensga eSports,1
5690,Team oNe eSports,Rensga eSports,0
5691,Rensga eSports,Team oNe eSports,0
5692,Top Esports Challenger,Invictus Gaming Young,0
5693,Invictus Gaming Young,Top Esports Challenger,1
5694,FunPlus Phoenix Blaze,JingNetGame,0
5695,All Combo,Young Miracles,0
5696,JingNetGame,FunPlus Phoenix Blaze,0
5697,All Combo,Young Miracles,1
5698,FunPlus Phoenix Blaze,JingNetGame,1
5699,All Combo,Young Miracles,1
5700,Bilibili Gaming Junior,Royal Club,0
5701,Joy Dream,WanZhen Esports Club,1
5702,Bilibili Gaming Junior,Royal Club,1
5703,WanZhen Esports Club,Joy Dream,0
5704,Bilibili Gaming Junior,Royal Club,1
5705,K1ck Neosurf,AGO ROGUE,1
5706,K1ck Neosurf,AGO ROGUE,0
5707,Team Singularity,KOVA Esports,1
5708,K1ck Neosurf,AGO ROGUE,1
5709,Solary,GameWard,1
5710,KOVA Esports,Team Singularity,0
5711,Misfits Premier,IZI Dream,0
5712,AGO ROGUE,K1ck Neosurf,0
