,blue_team,red_team,result
0,SANDBOX Gaming,T1,1
1,T1,SANDBOX Gaming,0
2,T1,SANDBOX Gaming,1
3,T1,SANDBOX Gaming,0
4,DRX,Afreeca Freecs,0
5,Afreeca Freecs,DRX,1
6,Afreeca Freecs,DRX,1
7,SANDBOX Gaming,Afreeca Freecs,0
8,Afreeca Freecs,SANDBOX Gaming,1
9,SANDBOX Gaming,Afreeca Freecs,0
10,Invictus Gaming,FunPlus Phoenix,1
11,Invictus Gaming,FunPlus Phoenix,0
12,LGD Gaming,LNG Esports,1
13,Invictus Gaming,FunPlus Phoenix,1
14,LNG Esports,LGD Gaming,1
15,LGD Gaming,LNG Esports,0
16,eStar,Rogue Warriors,1
17,Rogue Warriors,eStar,0
18,Oh My God,JD Gaming,0
19,Oh My God,JD Gaming,0
20,Vici Gaming,Bilibili Gaming,0
21,Bilibili Gaming,Vici Gaming,0
22,Vici Gaming,Bilibili Gaming,0
23,Invictus Gaming,Dominus Esports,1
24,Dominus Esports,Invictus Gaming,0
25,Victory Five,EDward Gaming,0
26,Victory Five,EDward Gaming,0
27,Rogue Warriors,Suning,1
28,Suning,Rogue Warriors,0
29,FunPlus Phoenix,eStar,0
30,FunPlus Phoenix,eStar,1
31,eStar,FunPlus Phoenix,1
32,LNG Esports,Top Esports,0
33,Top Esports,LNG Esports,1
34,JD Gaming,Team WE,1
35,Team WE,JD Gaming,0
36,Bilibili Gaming,Royal Never Give Up,0
37,Royal Never Give Up,Bilibili Gaming,0
38,Bilibili Gaming,Royal Never Give Up,1
39,Vici Gaming,Dominus Esports,0
40,Vici Gaming,Dominus Esports,1
41,Vici Gaming,Dominus Esports,1
42,EDward Gaming,Top Esports,1
43,Top Esports,EDward Gaming,1
44,EDward Gaming,Top Esports,0
45,Misfits Premier,IZI Dream,1
46,GameWard,Team MCES,1
47,Solary,GamersOrigin,0
48,Vitality.Bee,LDLC OL,1
49,Misfits Premier,GameWard,0
50,GamersOrigin,IZI Dream,1
51,LDLC OL,Solary,1
52,Vitality.Bee,Team MCES,1
53,G2 Esports,MAD Lions,1
54,SK Gaming,Team Vitality,1
55,Rogue,Misfits Gaming,1
56,Excel Esports,FC Schalke 04 Esports,1
57,Fnatic,Origen,0
58,Evil Geniuses Academy,Dignitas Academy,0
59,Cloud9 Academy,Team Liquid Academy,1
60,TSM Academy,Immortals Academy,0
61,FlyQuest Academy,CLG Academy,1
62,Golden Guardians Academy,100 Thieves Academy,1
63,Team Vitality,MAD Lions,0
64,paiN Gaming,Flamengo Esports,0
65,Excel Esports,Rogue,0
66,Prodigy Esports,Vivo Keyd,1
67,Origen,FC Schalke 04 Esports,1
68,INTZ,Redemption eSports Porto Alegre,0
69,Fnatic,Misfits Gaming,1
70,FURIA Esports,KaBuM! e-Sports,1
71,SK Gaming,G2 Esports,0
72,Cloud9,Team Liquid,1
73,Counter Logic Gaming,Dignitas,0
74,100 Thieves,Golden Guardians,1
75,Immortals,FlyQuest,0
76,Golden Guardians Academy,Cloud9 Academy,1
77,Flamengo Esports,Vivo Keyd,1
78,Prodigy Esports,FURIA Esports,1
79,Redemption eSports Porto Alegre,KaBuM! e-Sports,1
80,INTZ,paiN Gaming,0
81,Dignitas,Evil Geniuses,1
82,TSM,Immortals,0
83,Golden Guardians,Cloud9,0
84,FlyQuest,Counter Logic Gaming,1
85,CLG Academy,Dignitas Academy,0
86,FlyQuest Academy,Immortals Academy,1
87,Evil Geniuses Academy,100 Thieves Academy,0
88,Team Liquid Academy,TSM Academy,0
89,Evil Geniuses,100 Thieves,1
90,Team Liquid,TSM,1
91,AGO ROGUE,devils.one,1
92,Diablo Chairs,PRIDE,0
93,AVEZ Esport,Illuminar Gaming,0
94,Vitality.Bee,IZI Dream,1
95,K1ck Neosurf,piratesports,1
96,LDLC OL,GameWard,1
97,Team MCES,Solary,0
98,GamersOrigin,Misfits Premier,0
99,AVEZ Esport,AGO ROGUE,0
100,K1ck Neosurf,PRIDE,1
101,Diablo Chairs,devils.one,0
102,Illuminar Gaming,piratesports,1
103,IZI Dream,Team MCES,0
104,Vitality.Bee,Misfits Premier,1
105,Solary,GameWard,0
106,LDLC OL,GamersOrigin,1
107,Avant Gaming,Legacy Esports,0
108,Gravitas,ORDER,0
109,Pentanet.GG,Chiefs Esports Club,0
110,MAMMOTH,Dire Wolves,0
111,Team Flash,EVOS Esports,0
112,EVOS Esports,Team Flash,0
113,Team Flash,EVOS Esports,0
114,GAM Esports,CERBERUS Esports,1
115,CERBERUS Esports,GAM Esports,0
116,Origen,Rogue,1
117,SK Gaming,Misfits Gaming,0
118,Team Vitality,G2 Esports,0
119,Excel Esports,MAD Lions,1
120,FC Schalke 04 Esports,Fnatic,0
121,CLG Academy,100 Thieves Academy,0
122,Cloud9 Academy,FlyQuest Academy,1
123,Dignitas Academy,Team Liquid Academy,1
124,Immortals Academy,Golden Guardians Academy,1
125,Evil Geniuses Academy,TSM Academy,1
126,ORDER,Legacy Esports,0
127,Gravitas,MAMMOTH,1
128,Dire Wolves,Pentanet.GG,0
129,Chiefs Esports Club,Avant Gaming,1
130,V Gaming Adonis,Saigon Buffalo,1
131,Royal Youth,SuperMassive Esports,0
132,Saigon Buffalo,V Gaming Adonis,1
133,V Gaming Adonis,Saigon Buffalo,1
134,Dark Passage,İstanbul Wildcats,1
135,1907 Fenerbahçe Esports,5 Ronin,1
136,Lowkey Esports.Vietnam,FTV Esports,1
137,FTV Esports,Lowkey Esports.Vietnam,0
138,Beşiktaş Esports,Galakticos,0
139,Excel Esports,Misfits Gaming,0
140,Redemption eSports Porto Alegre,FURIA Esports,0
141,FC Schalke 04 Esports,MAD Lions,0
142,KaBuM! e-Sports,INTZ,0
143,Rogue,Team Vitality,1
144,Vivo Keyd,paiN Gaming,1
145,SK Gaming,Fnatic,0
146,Flamengo Esports,Prodigy Esports,1
147,G2 Esports,Origen,1
148,Counter Logic Gaming,100 Thieves,0
149,Dignitas,Team Liquid,1
150,Cloud9,Immortals,1
151,Evil Geniuses,Golden Guardians,0
152,Cloud9 Academy,Immortals Academy,0
153,Saigon Buffalo,Lowkey Esports.Vietnam,1
154,5 Ronin,Dark Passage,0
155,Lowkey Esports.Vietnam,Saigon Buffalo,0
156,Royal Youth,İstanbul Wildcats,1
157,FTV Esports,Team Flash,0
158,1907 Fenerbahçe Esports,Galakticos,1
159,SuperMassive Esports,Team AURORA,0
160,Team Flash,FTV Esports,1
161,Vivo Keyd,INTZ,1
162,paiN Gaming,Redemption eSports Porto Alegre,1
163,FURIA Esports,Flamengo Esports,1
164,Prodigy Esports,KaBuM! e-Sports,1
165,Team Liquid,FlyQuest,1
166,Evil Geniuses,TSM,0
167,100 Thieves,Cloud9,0
168,Immortals,Golden Guardians,1
169,100 Thieves Academy,Team Liquid Academy,1
170,Dark Passage Academy,İstanbul Wildcats Academy,0
171,1907 Fenerbahçe Academy,5 Ronin Academy,1
172,Beşiktaş Academy,Galakticos Academy,1
173,FlyQuest Academy,Dignitas Academy,0
174,Golden Guardians Academy,Evil Geniuses Academy,0
175,TSM Academy,CLG Academy,1
176,RED Canids,Havan Liberty Gaming,0
177,FlyQuest,Dignitas,1
178,Santos e-Sports,Team oNe eSports,1
179,Falkol,Intergalaxy Tigers Gaming,1
180,TSM,Counter Logic Gaming,1
181,5 Ronin Academy,Dark Passage Academy,1
182,Royal Youth Academy,İstanbul Wildcats Academy,0
183,1907 Fenerbahçe Academy,Galakticos Academy,1
184,AGO ROGUE,piratesports,1
185,PRIDE,devils.one,0
186,SuperMassive Academy,Team AURORA Academy,1
187,Illuminar Gaming,K1ck Neosurf,0
188,Fnatic Rising,Enclave Gaming,1
189,GameWard,IZI Dream,1
190,Phelan Gaming,Barrage Esports,0
191,AVEZ Esport,Diablo Chairs,0
192,NVision Esports,BT Excel,0
193,Misfits Premier,Solary,1
194,LDLC OL,Team MCES,1
195,MnM Gaming,Demise,1
196,Vitality.Bee,GamersOrigin,0
197,Team oNe eSports,RED Canids,0
198,Full Spectrum,Robert Morris University Illinois,1
199,Columbia College,First Blood Crusade,1
200,Intergalaxy Tigers Gaming,Havan Liberty Gaming,0
201,Snowman Slammers,Aqualix Esports,1
202,Grand View University,Supernova,0
203,Orgless,Team Fish Taco,1
204,unknown team,unknown team,1
205,unknown team,unknown team,0
206,First Blood Crusade,Columbia College,0
207,Supernova,Grand View University,1
208,Team Fish Taco,Orgless,0
209,Falkol,Santos e-Sports,1
210,Aqualix Esports,Snowman Slammers,1
211,Robert Morris University Illinois,Full Spectrum,0
212,Snowman Slammers,Aqualix Esports,1
213,T1,DAMWON Gaming,0
214,DAMWON Gaming,T1,0
215,T1,DAMWON Gaming,1
216,KT Rolster,Gen.G,1
217,Gen.G,KT Rolster,1
218,KT Rolster,Gen.G,0
219,Illuminar Gaming,AGO ROGUE,0
220,Diablo Chairs,piratesports,0
221,BT Excel,MnM Gaming,1
222,PRIDE,AVEZ Esport,0
223,GamersOrigin,Team MCES,1
224,Demise,Fnatic Rising,0
225,K1ck Neosurf,devils.one,0
226,Barrage Esports,NVision Esports,1
227,Misfits Premier,LDLC OL,0
228,Enclave Gaming,Phelan Gaming,0
229,IZI Dream,Solary,0
230,GameWard,Vitality.Bee,0
231,hyFresh Blade,Seorabeol Gaming,1
232,Seorabeol Gaming,hyFresh Blade,1
233,hyFresh Blade,Seorabeol Gaming,1
234,SANDBOX Gaming,SeolHaeOne Prince,1
235,OZ Gaming,Team Dynamics,0
236,SeolHaeOne Prince,SANDBOX Gaming,0
237,Team Dynamics,OZ Gaming,1
238,Griffin,Afreeca Freecs,0
239,Afreeca Freecs,Griffin,1
240,Royal Youth Academy,Team AURORA Academy,1
241,Beşiktaş Academy,SuperMassive Academy,1
242,Dark Passage Academy,Galakticos Academy,1
243,İstanbul Wildcats Academy,5 Ronin Academy,1
244,Element Mystic,Jin Air Green Wings,0
245,Legacy Esports,MAMMOTH,1
246,Gravitas,Dire Wolves,0
247,Jin Air Green Wings,Element Mystic,1
248,Pentanet.GG,Avant Gaming,0
249,Asura,Spear Gaming,1
250,Hanwha Life Esports,T1,1
251,ORDER,Chiefs Esports Club,0
252,Spear Gaming,Asura,1
253,T1,Hanwha Life Esports,1
254,Asura,Spear Gaming,0
255,Hanwha Life Esports,T1,1
256,CERBERUS Esports,V Gaming Adonis,1
257,V Gaming Adonis,CERBERUS Esports,1
258,DRX,KT Rolster,0
259,CERBERUS Esports,V Gaming Adonis,1
260,KT Rolster,DRX,0
261,EVOS Esports,GAM Esports,0
262,DRX,KT Rolster,1
263,5 Ronin Academy,Royal Youth Academy,1
264,GAM Esports,EVOS Esports,1
265,SuperMassive Academy,1907 Fenerbahçe Academy,0
266,Team AURORA Academy,Beşiktaş Academy,1
267,MAD Lions,SK Gaming,1
268,İstanbul Wildcats Academy,Galakticos Academy,1
269,FC Schalke 04 Esports,Misfits Gaming,0
270,Fnatic,Excel Esports,1
271,Team Vitality,Origen,0
272,Rogue,G2 Esports,0
273,Evil Geniuses Academy,CLG Academy,0
274,Team Liquid Academy,FlyQuest Academy,0
275,Golden Guardians Academy,TSM Academy,0
276,Immortals Academy,100 Thieves Academy,1
277,100 Thieves Next,unknown team,1
278,Dignitas Academy,Cloud9 Academy,1
279,unknown team,100 Thieves Next,0
280,DetonatioN FocusMe,V3 Esports,1
281,Pentanet.GG,Gravitas,0
282,V3 Esports,AXIZ,1
283,Avant Gaming,ORDER,0
284,Burning Core,AXIZ,1
285,Legacy Esports,Dire Wolves,1
286,SeolHaeOne Prince,DAMWON Gaming,0
287,Burning Core,DetonatioN FocusMe,0
288,Chiefs Esports Club,MAMMOTH,1
289,DAMWON Gaming,SeolHaeOne Prince,1
290,Crest Gaming Act,Fukuoka SoftBank Hawks gaming,1
291,Lowkey Esports.Vietnam,CERBERUS Esports,0
292,Gen.G,Griffin,1
293,Sengoku Gaming,Fukuoka SoftBank Hawks gaming,0
294,Team AURORA,Royal Youth,1
295,CERBERUS Esports,Lowkey Esports.Vietnam,0
296,Griffin,Gen.G,0
297,Beşiktaş Esports,SuperMassive Esports,1
298,Lowkey Esports.Vietnam,CERBERUS Esports,1
299,Sengoku Gaming,Rascal Jester,1
300,V Gaming Adonis,EVOS Esports,0
301,Dark Passage,Galakticos,1
302,Crest Gaming Act,Rascal Jester,0
303,EVOS Esports,V Gaming Adonis,1
304,İstanbul Wildcats,5 Ronin,0
305,FC Schalke 04 Esports,SK Gaming,0
306,INTZ,Prodigy Esports,0
307,Excel Esports,Team Vitality,1
308,Flamengo Esports,Redemption eSports Porto Alegre,1
309,Rogue,MAD Lions,0
310,KaBuM! e-Sports,paiN Gaming,1
311,Misfits Gaming,Origen,1
312,Vivo Keyd,FURIA Esports,1
313,G2 Esports,Fnatic,1
314,Evil Geniuses,Counter Logic Gaming,0
315,100 Thieves,Team Liquid,1
316,TSM,Dignitas,1
317,Cloud9,FlyQuest,1
318,ANEW Academy,Vegas Inferno,1
319,100 Thieves Academy,Cloud9 Academy,1
320,Vegas Inferno,ANEW Academy,1
321,ANEW Academy,Vegas Inferno,1
322,SANDBOX Gaming,DRX,1
323,DRX,SANDBOX Gaming,1
324,SANDBOX Gaming,DRX,0
325,Team Flash,GAM Esports,0
326,5 Ronin,Royal Youth,0
327,GAM Esports,Team Flash,0
328,Afreeca Freecs,Hanwha Life Esports,0
329,SuperMassive Esports,1907 Fenerbahçe Esports,0
330,Team Flash,GAM Esports,1
331,Hanwha Life Esports,Afreeca Freecs,0
332,Team AURORA,Beşiktaş Esports,0
333,FTV Esports,Saigon Buffalo,0
334,Afreeca Freecs,Hanwha Life Esports,1
335,İstanbul Wildcats,Galakticos,1
336,Saigon Buffalo,FTV Esports,1
337,KaBuM! e-Sports,Flamengo Esports,0
338,FURIA Esports,INTZ,1
339,paiN Gaming,Prodigy Esports,1
340,Redemption eSports Porto Alegre,Vivo Keyd,0
341,Immortals,100 Thieves,1
342,Golden Guardians,TSM,0
343,Dignitas,Cloud9,0
344,FlyQuest,Evil Geniuses,0
345,TSM Academy,Dignitas Academy,0
346,Seorabeol Gaming,OZ Gaming,1
347,OZ Gaming,Seorabeol Gaming,0
348,Team Dynamics,Spear Gaming,0
349,Spear Gaming,Team Dynamics,1
350,CLG Academy,Immortals Academy,0
351,FlyQuest Academy,Evil Geniuses Academy,0
352,Team Liquid Academy,Golden Guardians Academy,1
353,Team Liquid,Golden Guardians,0
354,Counter Logic Gaming,Immortals,0
355,V3 Esports,Sengoku Gaming,0
356,V3 Esports,Burning Core,1
357,Crest Gaming Act,Burning Core,1
358,Crest Gaming Act,Sengoku Gaming,1
359,DetonatioN FocusMe,AXIZ,1
360,Rascal Jester,DetonatioN FocusMe,0
361,Rascal Jester,Fukuoka SoftBank Hawks gaming,0
362,Fukuoka SoftBank Hawks gaming,AXIZ,1
363,AGO ROGUE,Diablo Chairs,1
364,piratesports,devils.one,1
365,Illuminar Gaming,PRIDE,1
366,MnM Gaming,Barrage Esports,0
367,K1ck Neosurf,AVEZ Esport,1
368,LDLC OL,IZI Dream,1
369,NVision Esports,Enclave Gaming,1
370,Fnatic Rising,Phelan Gaming,1
371,Misfits Premier,Team MCES,1
372,Demise,BT Excel,0
373,GamersOrigin,GameWard,1
374,Solary,Vitality.Bee,1
375,unknown team,unknown team,0
376,Columbia College,Vegas Inferno,1
377,Robert Morris University Illinois,Orgless,0
378,Issue is Critical,Grand View University,1
379,unknown team,100 Thieves Next,0
380,Full Spectrum,Team Fish Taco,1
381,Snowman Slammers,Supernova,1
382,Grand View University,Issue is Critical,0
383,unknown team,unknown team,0
384,Orgless,Robert Morris University Illinois,1
385,Vegas Inferno,Columbia College,1
386,Team Fish Taco,Full Spectrum,0
387,Supernova,Snowman Slammers,0
388,100 Thieves Next,unknown team,1
389,unknown team,unknown team,1
390,Columbia College,Vegas Inferno,0
391,SeolHaeOne Prince,Afreeca Freecs,0
392,Afreeca Freecs,SeolHaeOne Prince,0
393,SeolHaeOne Prince,Afreeca Freecs,0
394,Griffin,SANDBOX Gaming,0
395,SANDBOX Gaming,Griffin,0
396,Griffin,SANDBOX Gaming,1
397,AGO ROGUE,K1ck Neosurf,1
398,PRIDE,piratesports,0
399,Phelan Gaming,NVision Esports,0
400,devils.one,AVEZ Esport,1
401,Diablo Chairs,Illuminar Gaming,0
402,IZI Dream,Solary,0
403,Barrage Esports,Demise,1
404,Team MCES,GamersOrigin,0
405,Enclave Gaming,MnM Gaming,0
406,Vitality.Bee,GameWard,0
407,BT Excel,Fnatic Rising,1
408,Misfits Premier,LDLC OL,0
409,Team Dynamics,Asura,1
410,Asura,Team Dynamics,1
411,Team Dynamics,Asura,1
412,Element Mystic,hyFresh Blade,1
413,KT Rolster,T1,0
414,T1,KT Rolster,1
415,hyFresh Blade,Element Mystic,1
416,DRX,Hanwha Life Esports,1
417,Element Mystic,hyFresh Blade,0
418,Hanwha Life Esports,DRX,0
419,Team AURORA Academy,1907 Fenerbahçe Academy,1
420,5 Ronin Academy,Galakticos Academy,0
421,Beşiktaş Academy,Royal Youth Academy,1
422,SuperMassive Academy,Dark Passage Academy,1
423,Jin Air Green Wings,OZ Gaming,1
424,Avant Gaming,Dire Wolves,0
425,OZ Gaming,Jin Air Green Wings,0
426,DAMWON Gaming,Gen.G,0
427,Legacy Esports,Gravitas,1
428,Spear Gaming,Seorabeol Gaming,1
429,MAMMOTH,Avant Gaming,0
430,Dire Wolves,Chiefs Esports Club,0
431,Seorabeol Gaming,Spear Gaming,1
432,Gen.G,DAMWON Gaming,1
433,Spear Gaming,Seorabeol Gaming,0
434,Griffin,SeolHaeOne Prince,1
435,CERBERUS Esports,FTV Esports,1
436,FTV Esports,CERBERUS Esports,0
437,SeolHaeOne Prince,Griffin,1
438,GAM Esports,V Gaming Adonis,1
439,Griffin,SeolHaeOne Prince,1
440,V Gaming Adonis,GAM Esports,0
441,1907 Fenerbahçe Academy,Beşiktaş Academy,0
442,Galakticos Academy,Royal Youth Academy,1
443,Team AURORA Academy,Dark Passage Academy,0
444,Origen,MAD Lions,1
445,İstanbul Wildcats Academy,SuperMassive Academy,1
446,Excel Esports,SK Gaming,1
447,Team Vitality,Fnatic,0
448,FC Schalke 04 Esports,Rogue,0
449,G2 Esports,Misfits Gaming,0
450,Golden Guardians Academy,CLG Academy,1
451,Dignitas Academy,100 Thieves Academy,1
452,Evil Geniuses Academy,Cloud9 Academy,0
453,TSM Academy,FlyQuest Academy,1
454,Team Liquid Academy,Immortals Academy,1
455,AXIZ,Rascal Jester,1
456,Pentanet.GG,ORDER,1
457,Crest Gaming Act,AXIZ,1
458,Chiefs Esports Club,Gravitas,1
459,Crest Gaming Act,V3 Esports,0
460,Pentanet.GG,Legacy Esports,0
461,V3 Esports,Rascal Jester,0
462,Afreeca Freecs,DRX,1
463,MAMMOTH,ORDER,0
464,DetonatioN FocusMe,Fukuoka SoftBank Hawks gaming,1
465,DRX,Afreeca Freecs,1
466,EVOS Esports,Team Secret,0
467,Afreeca Freecs,DRX,0
468,Burning Core,Fukuoka SoftBank Hawks gaming,1
469,1907 Fenerbahçe Esports,Team AURORA,1
470,Hanwha Life Esports,SANDBOX Gaming,1
471,Team Secret,EVOS Esports,0
472,Burning Core,Sengoku Gaming,1
473,5 Ronin,Galakticos,0
474,EVOS Esports,Team Secret,0
475,SANDBOX Gaming,Hanwha Life Esports,0
476,DetonatioN FocusMe,Sengoku Gaming,1
477,Beşiktaş Esports,Royal Youth,0
478,Saigon Buffalo,Team Flash,0
479,Dark Passage,SuperMassive Esports,0
480,Team Flash,Saigon Buffalo,0
481,Saigon Buffalo,Team Flash,0
482,Team Vitality,Misfits Gaming,0
483,Rogue,SK Gaming,1
484,G2 Esports,FC Schalke 04 Esports,0
485,Origen,Excel Esports,1
486,Fnatic,MAD Lions,0
487,Isurus,Infinity Esports,1
488,Team Liquid,Immortals,0
489,Furious Gaming,All Knights,0
490,Cloud9,TSM,1
491,Azules Esports,Pixel Esports Club,0
492,Counter Logic Gaming,Golden Guardians,0
493,XTEN Esports,Rainbow7,0
494,100 Thieves,Dignitas,0
495,TSM Academy,Cloud9 Academy,0
496,DAMWON Gaming,KT Rolster,1
497,KT Rolster,DAMWON Gaming,0
498,Saigon Buffalo,CERBERUS Esports,0
499,T1,Gen.G,1
500,Beşiktaş Esports,1907 Fenerbahçe Esports,1
501,CERBERUS Esports,Saigon Buffalo,1
502,Galakticos,Royal Youth,0
503,Team Secret,GAM Esports,0
504,Gen.G,T1,1
505,Dark Passage,Team AURORA,1
506,GAM Esports,Team Secret,1
507,T1,Gen.G,1
508,İstanbul Wildcats,SuperMassive Esports,0
509,Dignitas,Golden Guardians,0
510,Infinity Esports,Rainbow7,1
511,Counter Logic Gaming,Team Liquid,0
512,TSM,FlyQuest,0
513,XTEN Esports,All Knights,0
514,Evil Geniuses,Immortals,1
515,Furious Gaming,Pixel Esports Club,0
516,FlyQuest Academy,100 Thieves Academy,0
517,Isurus,Azules Esports,1
518,hyFresh Blade,Team Dynamics,0
519,Team Dynamics,hyFresh Blade,0
520,hyFresh Blade,Team Dynamics,0
521,Spear Gaming,Element Mystic,1
522,Element Mystic,Spear Gaming,1
523,Spear Gaming,Element Mystic,0
524,Evil Geniuses Academy,Immortals Academy,0
525,Dignitas Academy,Golden Guardians Academy,0
526,CLG Academy,Team Liquid Academy,0
527,FlyQuest,100 Thieves,1
528,Evil Geniuses,Cloud9,0
529,K1ck Neosurf,Diablo Chairs,1
530,AVEZ Esport,piratesports,1
531,BT Excel,Barrage Esports,1
532,GameWard,IZI Dream,1
533,AGO ROGUE,PRIDE,1
534,MnM Gaming,Phelan Gaming,0
535,devils.one,Illuminar Gaming,1
536,Solary,Misfits Premier,0
537,Demise,Enclave Gaming,1
538,Team MCES,LDLC OL,0
539,Fnatic Rising,NVision Esports,1
540,Snowman Slammers,Grand View University,1
541,unknown team,unknown team,1
542,Supernova,Issue is Critical,0
543,unknown team,100 Thieves Next,0
544,Team Fish Taco,Robert Morris University Illinois,1
545,Vegas Inferno,First Blood Crusade,0
546,unknown team,unknown team,0
547,Grand View University,Snowman Slammers,0
548,100 Thieves Next,unknown team,1
549,First Blood Crusade,Vegas Inferno,1
550,Robert Morris University Illinois,Team Fish Taco,1
551,Issue is Critical,Supernova,1
552,Team Fish Taco,Robert Morris University Illinois,0
553,Gen.G,Hanwha Life Esports,1
554,Hanwha Life Esports,Gen.G,0
555,DRX,T1,0
556,T1,DRX,0
557,DRX,T1,0
558,AGO ROGUE,AVEZ Esport,1
559,Diablo Chairs,devils.one,0
560,Phelan Gaming,Demise,0
561,piratesports,Illuminar Gaming,0
562,Solary,LDLC OL,0
563,Enclave Gaming,BT Excel,0
564,K1ck Neosurf,PRIDE,1
565,Barrage Esports,Fnatic Rising,1
566,IZI Dream,GamersOrigin,0
567,NVision Esports,MnM Gaming,1
568,GameWard,Misfits Premier,0
569,Team MCES,Vitality.Bee,0
570,Jin Air Green Wings,Team Dynamics,0
571,Team Dynamics,Jin Air Green Wings,1
572,Asura,hyFresh Blade,0
573,Griffin,DAMWON Gaming,1
574,hyFresh Blade,Asura,1
575,DAMWON Gaming,Griffin,1
576,Griffin,DAMWON Gaming,0
577,KT Rolster,SeolHaeOne Prince,0
578,SeolHaeOne Prince,KT Rolster,1
579,Dark Passage Academy,Beşiktaş Academy,0
580,1907 Fenerbahçe Academy,Royal Youth Academy,1
581,SuperMassive Academy,5 Ronin Academy,0
582,İstanbul Wildcats Academy,Team AURORA Academy,1
583,OZ Gaming,Spear Gaming,1
584,ORDER,Gravitas,1
585,Spear Gaming,OZ Gaming,1
586,MAMMOTH,Pentanet.GG,0
587,OZ Gaming,Spear Gaming,0
588,ORDER,Dire Wolves,0
589,SANDBOX Gaming,Afreeca Freecs,0
590,Chiefs Esports Club,Legacy Esports,1
591,Seorabeol Gaming,Element Mystic,1
592,Afreeca Freecs,SANDBOX Gaming,0
593,Element Mystic,Seorabeol Gaming,1
594,SANDBOX Gaming,Afreeca Freecs,0
595,Seorabeol Gaming,Element Mystic,1
596,FTV Esports,EVOS Esports,1
597,DRX,Gen.G,1
598,EVOS Esports,FTV Esports,1
599,Gen.G,DRX,1
600,FTV Esports,EVOS Esports,0
601,DRX,Gen.G,0
602,Galakticos Academy,SuperMassive Academy,0
603,Team Flash,V Gaming Adonis,1
604,V Gaming Adonis,Team Flash,0
605,Team AURORA Academy,5 Ronin Academy,1
606,Beşiktaş Academy,İstanbul Wildcats Academy,0
607,MAD Lions,Misfits Gaming,0
608,1907 Fenerbahçe Academy,Dark Passage Academy,1
609,Team Vitality,FC Schalke 04 Esports,0
610,G2 Esports,Excel Esports,1
611,Origen,SK Gaming,1
612,Rogue,Fnatic,0
613,FlyQuest Academy,Golden Guardians Academy,0
614,100 Thieves Academy,TSM Academy,0
615,Dignitas Academy,Immortals Academy,1
616,Evil Geniuses Academy,Team Liquid Academy,1
617,First Blood Crusade,ANEW Academy,0
618,Cloud9 Academy,CLG Academy,1
619,ANEW Academy,First Blood Crusade,1
620,Avant Gaming,Legacy Esports,0
621,Chiefs Esports Club,Pentanet.GG,1
622,Hanwha Life Esports,Griffin,1
623,Avant Gaming,Gravitas,1
624,Dire Wolves,MAMMOTH,1
625,Griffin,Hanwha Life Esports,1
626,EVOS Esports,Saigon Buffalo,0
627,Hanwha Life Esports,Griffin,1
628,Dark Passage,Beşiktaş Esports,1
629,SeolHaeOne Prince,T1,0
630,Saigon Buffalo,EVOS Esports,0
631,EVOS Esports,Saigon Buffalo,1
632,1907 Fenerbahçe Esports,Royal Youth,1
633,T1,SeolHaeOne Prince,1
634,Unicorns Of Love.CIS,Vega Squadron,1
635,SuperMassive Esports,5 Ronin,1
636,GAM Esports,FTV Esports,1
637,FTV Esports,GAM Esports,1
638,Team AURORA,İstanbul Wildcats,0
639,Dragon Army,Gambit Esports,0
640,GAM Esports,FTV Esports,1
641,Elements Pro Gaming,CrowCrowd,1
642,Team Vitality,SK Gaming,1
643,RoX,M19,1
644,Excel Esports,FC Schalke 04 Esports,1
645,Rogue,Misfits Gaming,1
646,MAD Lions,G2 Esports,1
647,Origen,Fnatic,0
648,All Knights,Infinity Esports,0
649,100 Thieves,TSM,0
650,Pixel Esports Club,XTEN Esports,0
651,Cloud9,Counter Logic Gaming,1
652,Azules Esports,Furious Gaming,1
653,Dignitas,Immortals,1
654,Rainbow7,Isurus,1
655,FlyQuest,Golden Guardians,1
656,CLG Academy,FlyQuest Academy,0
657,AXIZ,Fukuoka SoftBank Hawks gaming,1
658,Sengoku Gaming,AXIZ,1
659,Afreeca Freecs,KT Rolster,0
660,Sengoku Gaming,V3 Esports,1
661,V3 Esports,Fukuoka SoftBank Hawks gaming,0
662,KT Rolster,Afreeca Freecs,0
663,Burning Core,Crest Gaming Act,1
664,Afreeca Freecs,KT Rolster,0
665,CERBERUS Esports,Team Flash,0
666,Crest Gaming Act,DetonatioN FocusMe,0
667,Galakticos,SuperMassive Esports,0
668,Team Flash,CERBERUS Esports,0
669,SANDBOX Gaming,DAMWON Gaming,1
670,Rascal Jester,DetonatioN FocusMe,0
671,CERBERUS Esports,Team Flash,0
672,5 Ronin,Team AURORA,0
673,DAMWON Gaming,SANDBOX Gaming,0
674,Dragon Army,RoX,0
675,Burning Core,Rascal Jester,0
676,Beşiktaş Esports,İstanbul Wildcats,1
677,V Gaming Adonis,Team Secret,0
678,Team Secret,V Gaming Adonis,1
679,1907 Fenerbahçe Esports,Dark Passage,0
680,CrowCrowd,Vega Squadron,1
681,Gambit Esports,M19,1
682,Elements Pro Gaming,Unicorns Of Love.CIS,0
683,Evil Geniuses,Team Liquid,1
684,Immortals,Cloud9,0
685,All Knights,Isurus,1
686,Rainbow7,Azules Esports,1
687,Golden Guardians,100 Thieves,0
