,team,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,elementaldrakes,infernals,mountains,clouds,oceans,elders,firstherald,heralds,firstbaron,barons,firsttower,towers,firstmidtower,firsttothreetowers,inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15
0,SANDBOX Gaming,10.262626262626263,11.969696969696969,24.424242424242426,1.2121212121212122,0.16161616161616163,0.020202020202020204,0.010101010101010102,0.43434343434343436,0.3136212121212122,0.7317749999999998,0.375,2.1616161616161618,2.111111111111111,0.41414141414141414,0.5252525252525253,0.6666666666666666,0.5050505050505051,0.050505050505050504,0.47474747474747475,0.9292929292929293,0.36363636363636365,0.47474747474747475,0.5050505050505051,4.94949494949495,0.5050505050505051,0.4444444444444444,0.7070707070707071,56598.72727272727,1709.674484848485,2634.1233929292935,2479.1254777777776,124.38383838383838,3.7391171717171714,62.474747474747474,1.8647434343434335,53.08080808080808,261.1111111111111,7.851474747474746,56019.19191919192,34569.37373737374,1049.3575838383833,52491.343434343435,-0.013897160208333334,875.3030303030303,200.5252525252525,137.36363636363637,12.585858585858587,32.783601010101016,15274.070707070707,18352.23232323232,325.6060606060606,9.606060606060606,8.474747474747474,3.8383838383838382,24015.10101010101,29121.252525252527,512.2525252525253,287.1313131313131,16.87878787878788,1.404040404040404
0,T1,12.724770642201834,8.688073394495413,29.990825688073393,1.6055045871559632,0.30275229357798167,0.05504587155963303,0.0,0.5596330275229358,0.39504862385321105,0.6288421052631578,0.543859649122807,2.596330275229358,2.541284403669725,0.6330275229357798,0.6330275229357798,0.6238532110091743,0.6513761467889908,0.05504587155963303,0.44954128440366975,0.963302752293578,0.5137614678899083,0.6788990825688074,0.5229357798165137,6.889908256880734,0.5504587155963303,0.5321100917431193,1.128440366972477,60212.30275229358,1790.0009990825688,2546.9279834862386,2569.0559614678896,134.90825688073394,3.986352293577981,63.03669724770642,1.8436522935779822,48.96330275229358,293.11009174311926,8.638593577981645,60627.79816513762,38733.11009174312,1165.8208559633024,56104.8256880734,0.06385471057894736,914.1559633027523,240.1743119266055,156.69724770642202,22.871559633027523,34.556922018348615,15572.348623853211,18505.201834862386,331.9908256880734,179.4678899082569,56.95412844036697,5.8807339449541285,24677.495412844037,29808.91743119266,533.045871559633,375.5321100917431,-45.321100917431195,4.155963302752293
0,DRX,12.487804878048781,10.731707317073171,29.121951219512194,1.4308943089430894,0.3170731707317073,0.06504065040650407,0.0,0.4146341463414634,0.39486260162601616,0.7305441176470591,0.45588235294117646,2.4878048780487805,2.4390243902439024,0.6666666666666666,0.5528455284552846,0.7317073170731707,0.4878048780487805,0.04878048780487805,0.4146341463414634,0.9105691056910569,0.4959349593495935,0.6747967479674797,0.5365853658536586,6.471544715447155,0.5772357723577236,0.6422764227642277,1.008130081300813,64244.60162601626,1970.5658040650396,2755.2678796747955,2582.5629146341457,120.98373983739837,3.6777902439024377,59.4390243902439,1.7977162601626018,45.94308943089431,263.0650406504065,7.992958536585368,59371.78861788618,38016.39024390244,1169.3433813008137,54621.78048780488,0.0595968017647059,902.1219512195122,230.97560975609755,149.79674796747966,22.024390243902438,34.74810731707316,15747.28455284553,18770.552845528455,336.1707317073171,281.0650406504065,166.08943089430895,5.495934959349594,25119.788617886177,30306.268292682926,537.1951219512196,750.3658536585366,325.2926829268293,8.414634146341463
0,Afreeca Freecs,11.733333333333333,12.4,27.78095238095238,1.4,0.3619047619047619,0.06666666666666667,0.01904761904761905,0.5619047619047619,0.35174476190476184,0.7444784313725489,0.29411764705882354,2.2666666666666666,2.1904761904761907,0.6,0.5333333333333333,0.5714285714285714,0.4857142857142857,0.0761904761904762,0.44761904761904764,0.8285714285714286,0.3904761904761905,0.5714285714285714,0.4095238095238095,5.285714285714286,0.47619047619047616,0.4666666666666667,0.8095238095238095,61024.8,1792.1124171428576,2540.1993209523807,2455.555388571428,120.57142857142857,3.565469523809524,63.22857142857143,1.8427657142857128,48.095238095238095,274.8,8.080390476190475,57591.67619047619,35731.89523809524,1064.090581904762,53438.142857142855,-0.004441654019607842,874.847619047619,198.24761904761905,133.47619047619048,16.752380952380953,32.129501904761895,15445.27619047619,18205.038095238095,319.55238095238093,165.34285714285716,-110.78095238095239,0.47619047619047616,24245.847619047618,28907.085714285713,506.16190476190474,376.6190476190476,-121.5904761904762,1.6666666666666667
0,Misfits Premier,16.19047619047619,12.444444444444445,38.6031746031746,1.7777777777777777,0.31746031746031744,0.0,0.0,0.6031746031746031,0.5036396825396827,0.9116162162162166,0.4864864864864865,2.5873015873015874,2.492063492063492,0.6349206349206349,0.5714285714285714,0.6507936507936508,0.6349206349206349,0.09523809523809523,0.49206349206349204,0.9523809523809523,0.5555555555555556,0.7619047619047619,0.4603174603174603,6.825396825396825,0.5873015873015873,0.49206349206349204,1.126984126984127,66790.07936507936,1998.7434904761901,2808.975009523809,2573.8195619047615,104.71428571428571,3.135892063492064,42.76190476190476,1.2743888888888886,40.74603174603175,238.57142857142858,7.14416984126984,59553.04761904762,37973.031746031746,1158.4195952380953,54501.730158730155,0.03437483140540539,829.6190476190476,211.53968253968253,142.17460317460316,16.714285714285715,31.62901746031746,15564.015873015873,18001.15873015873,313.6190476190476,203.68253968253967,228.12698412698413,3.5873015873015874,24475.365079365078,28714.968253968254,494.968253968254,775.3333333333334,480.55555555555554,0.47619047619047616
0,GameWard,16.73076923076923,19.153846153846153,35.07692307692308,1.9230769230769231,0.3076923076923077,0.038461538461538464,0.0,0.46153846153846156,0.5307788461538463,1.1601806451612902,0.2903225806451613,2.019230769230769,1.9615384615384615,0.5769230769230769,0.4230769230769231,0.36538461538461536,0.5961538461538461,0.057692307692307696,0.38461538461538464,0.75,0.4807692307692308,0.6730769230769231,0.5576923076923077,5.961538461538462,0.5384615384615384,0.5,1.1153846153846154,70166.11538461539,2202.107655769231,3168.2539365384614,2841.410407692308,98.59615384615384,3.1165115384615385,36.61538461538461,1.146478846153846,39.34615384615385,215.73076923076923,6.788565384615383,55112.21153846154,34557.653846153844,1095.3073096153844,51183.769230769234,-0.021440661290322585,748.2692307692307,166.92307692307693,108.3076923076923,16.615384615384617,29.178017307692304,15753.961538461539,17940.25,302.03846153846155,90.36538461538461,53.86538461538461,4.4423076923076925,24745.923076923078,28510.153846153848,473.1923076923077,22.26923076923077,-319.59615384615387,1.8846153846153846
0,Solary,12.482758620689655,15.379310344827585,28.96551724137931,1.1724137931034482,0.20689655172413793,0.034482758620689655,0.0,0.3793103448275862,0.36252413793103444,0.8511400000000001,0.26666666666666666,2.5517241379310347,2.3793103448275863,0.6551724137931034,0.5517241379310345,0.5517241379310345,0.6206896551724138,0.1724137931034483,0.3103448275862069,0.6551724137931034,0.4482758620689655,0.7931034482758621,0.3103448275862069,5.0344827586206895,0.27586206896551724,0.13793103448275862,0.9310344827586207,65946.89655172414,1841.5668896551722,2966.6534724137928,3063.955065517241,114.37931034482759,3.2461068965517237,46.41379310344828,1.2992827586206894,44.58620689655172,257.9310344827586,7.275551724137933,58213.41379310345,35607.03448275862,1018.2864896551724,54230.31034482759,-0.03890119133333334,825.3793103448276,204.79310344827587,136.13793103448276,21.620689655172413,29.67456551724138,14898.862068965518,17728.344827586207,306.0344827586207,-118.65517241379311,-185.13793103448276,-10.137931034482758,23361.03448275862,28350.724137931036,482.82758620689657,-453.6896551724138,-709.0689655172414,-21.275862068965516
0,Vitality.Bee,16.13953488372093,13.906976744186046,35.883720930232556,1.8372093023255813,0.20930232558139536,0.0,0.0,0.6511627906976745,0.49893488372093014,0.8811666666666667,0.5333333333333333,2.627906976744186,2.558139534883721,0.6976744186046512,0.5116279069767442,0.5813953488372093,0.7674418604651163,0.06976744186046512,0.4418604651162791,0.9302325581395349,0.4186046511627907,0.627906976744186,0.3953488372093023,6.255813953488372,0.4883720930232558,0.5348837209302325,0.9069767441860465,69215.74418604652,2055.1744883720935,2855.2934697674414,2626.1653930232565,107.76744186046511,3.2029627906976748,44.04651162790697,1.2932232558139534,47.25581395348837,241.7674418604651,7.157283720930233,59328.976744186046,37485.20930232558,1126.9252209302329,54918.95348837209,0.023664033333333327,833.6046511627907,211.37209302325581,136.53488372093022,18.837209302325583,31.286567441860466,15559.790697674418,17964.720930232557,311.3953488372093,-76.76744186046511,-2.0697674418604652,-1.441860465116279,24476.488372093023,28627.18604651163,491.4186046511628,-49.86046511627907,-196.72093023255815,-6.046511627906977
0,GamersOrigin,15.96923076923077,11.569230769230769,37.09230769230769,1.7076923076923076,0.4,0.046153846153846156,0.015384615384615385,0.47692307692307695,0.5118492307692306,0.8331757575757576,0.48484848484848486,2.476923076923077,2.4307692307692306,0.6,0.5230769230769231,0.7076923076923077,0.6,0.046153846153846156,0.6307692307692307,1.3076923076923077,0.5692307692307692,0.7692307692307693,0.6615384615384615,7.615384615384615,0.5846153846153846,0.7230769230769231,1.1846153846153846,66166.23076923077,1991.477947692308,2541.026413846155,2515.139112307693,100.8923076923077,3.0482400000000016,43.738461538461536,1.3028323076923072,38.95384615384615,244.55384615384617,7.347401538461538,58958.73846153846,37506.53846153846,1154.895141538462,53920.6,0.04746844818181818,804.8,212.2153846153846,127.38461538461539,32.03076923076923,31.074784615384612,15610.984615384616,17858.169230769232,309.73846153846154,238.07692307692307,153.12307692307692,1.5538461538461539,25049.33846153846,28645.26153846154,488.44615384615383,224.8923076923077,-13.553846153846154,-0.4461538461538462
0,LDLC OL,16.904761904761905,15.488095238095237,38.04761904761905,1.75,0.34523809523809523,0.047619047619047616,0.0,0.5119047619047619,0.5595726190476189,1.0059634146341463,0.4634146341463415,2.488095238095238,2.369047619047619,0.5,0.6190476190476191,0.5476190476190477,0.7023809523809523,0.11904761904761904,0.6190476190476191,1.1904761904761905,0.6071428571428571,0.8571428571428571,0.6309523809523809,7.2023809523809526,0.6904761904761905,0.7023809523809523,1.2142857142857142,69135.20238095238,2210.4005309523804,2987.0853119047615,2797.52715595238,89.72619047619048,2.873457142857143,39.654761904761905,1.2662988095238101,34.345238095238095,213.04761904761904,6.832191666666667,56731.48809523809,36472.083333333336,1188.9370880952376,52373.72619047619,0.07159106243902438,745.5952380952381,198.76190476190476,119.96428571428571,24.083333333333332,30.735960714285707,15672.52380952381,17884.10714285714,308.54761904761904,293.01190476190476,36.75,0.39285714285714285,25073.77380952381,28683.0,489.0952380952381,738.2857142857143,155.01190476190476,-1.0714285714285714
